Instrument,Long rate,Short rate,Long cost,Short cost
AUD_CAD,-0.0115,-0.0104,-2.19,-1.98
AUD_CHF,-0.0027,-0.0195,-0.51,-3.71
AUD_HKD,-0.0193,-0.0169,-3.68,-3.22
AUD_JPY,-0.009,-0.0134,-1.71,-2.55
AUD_NZD,-0.0124,-0.0103,-2.36,-1.96
AUD_SGD,-0.0175,-0.0175,-3.33,-3.33
AUD_USD,-0.0126,-0.0095,-2.4,-1.81
CAD_CHF,-0.0021,-0.02,-0.42,-4.03
CAD_HKD,-0.0185,-0.0166,-3.73,-3.35
CAD_JPY,-0.0081,-0.0137,-1.63,-2.76
CAD_SGD,-0.0171,-0.0171,-3.45,-3.45
CHF_HKD,-0.0277,-0.0076,-8.07,-2.21
CHF_JPY,-0.0174,-0.0045,-5.07,-1.31
CHF_ZAR,-0.0762,0.0253,-22.19,7.36
EUR_AUD,-0.0172,-0.0044,-5.33,-1.36
EUR_CAD,-0.0171,-0.0041,-5.3,-1.27
EUR_CHF,-0.0083,-0.0134,-2.57,-4.15
EUR_CZK,-0.0278,-0.0162,-8.61,-5.02
EUR_DKK,-0.0104,-0.0114,-3.22,-3.53
EUR_GBP,-0.0165,-0.0047,-5.11,-1.46
EUR_HKD,-0.025,-0.0101,-7.74,-3.13
EUR_HUF,-0.037,-0.0111,-11.46,-3.44
EUR_JPY,-0.0142,-0.007,-4.4,-2.17
EUR_NOK,-0.0158,-0.0059,-4.89,-1.83
EUR_NZD,-0.0183,-0.0036,-5.67,-1.11
EUR_PLN,-0.0151,-0.0066,-4.68,-2.04
EUR_SEK,-0.0142,-0.0071,-4.4,-2.2
EUR_SGD,-0.0235,-0.0107,-7.28,-3.31
EUR_TRY,-0.4737,0.0876,-146.69,27.11
EUR_USD,-0.0184,-0.0026,-5.7,-0.81
EUR_ZAR,-0.0735,0.0229,-22.76,7.09
GBP_AUD,-0.0114,-0.0102,-3.94,-3.53
GBP_CAD,-0.0115,-0.0096,-3.98,-3.32
GBP_CHF,-0.0026,-0.0189,-0.9,-6.54
GBP_HKD,-0.0194,-0.0155,-6.71,-5.36
GBP_JPY,-0.0086,-0.0124,-2.97,-4.29
GBP_NZD,-0.0125,-0.0094,-4.32,-3.25
GBP_PLN,-0.0096,-0.0121,-3.32,-4.19
GBP_SGD,-0.02,-0.0183,-6.92,-6.33
GBP_USD,-0.0123,-0.0083,-4.25,-2.87
GBP_ZAR,-0.0679,0.0174,-23.49,6.02
HKD_JPY,-0.0153,-0.0206,-0.54,-0.73
NZD_CAD,-0.0104,-0.0116,-1.87,-2.09
NZD_CHF,-0.0017,-0.0206,-0.31,-3.71
NZD_HKD,-0.0188,-0.0181,-3.39,-3.26
NZD_JPY,-0.0074,-0.0147,-1.33,-2.65
NZD_SGD,-0.0172,-0.0188,-3.1,-3.39
NZD_USD,-0.0117,-0.0106,-2.11,-1.91
SGD_CHF,-0.0063,-0.024,-1.24,-4.73
SGD_HKD,-0.0205,-0.0181,-4.04,-3.57
SGD_JPY,-0.0123,-0.0179,-2.42,-3.53
TRY_JPY,0.0795,-0.4662,3.17,-18.62
USD_CAD,-0.0092,-0.0116,-2.52,-3.18
USD_CHF,-0.0003,-0.0208,-0.08,-5.7
USD_CNH,-0.0345,0.002,-9.45,0.55
USD_CZK,-0.0205,-0.0242,-5.62,-6.63
USD_DKK,-0.0027,-0.019,-0.74,-5.21
USD_HKD,-0.0145,-0.0149,-3.97,-4.08
USD_HUF,-0.0302,-0.0199,-8.27,-5.45
USD_JPY,-0.0062,-0.0148,-1.7,-4.05
USD_MXN,-0.0576,0.0338,-15.78,9.26
USD_NOK,-0.008,-0.0134,-2.19,-3.67
USD_PLN,-0.0074,-0.0143,-2.03,-3.92
USD_SAR,-0.0521,-0.0209,-14.27,-5.73
USD_SEK,-0.0066,-0.0147,-1.81,-4.03
USD_SGD,-0.0131,-0.016,-3.59,-4.38
USD_THB,-0.0818,-0.0701,-22.41,-19.21
USD_TRY,-0.2343,0.0315,-64.19,8.63
USD_ZAR,-0.0655,0.0155,-17.95,4.25
ZAR_JPY,0.0194,-0.0702,0.32,-1.15
