,run_id,strategy,recorded_time,ref,ticker,direction,datein,pricein,dateout,priceout,change_percentage,pnl,pnl_percentage,size,value,cumpnl,nbars,pnl_per_bar,mfe_percentage,mae_percentage
0,,Simple Strategy,2020-11-27 23:03:24,1,BA,short,2016-03-29,131.29,2016-03-30,132.6197,1.01,-1999.8688000000038,-0.2,-1504,-197460.15999999997,-1999.8688000000038,1,-1999.87,2.49,-1.1
1,,Simple Strategy,2020-11-27 23:03:24,2,BA,short,2016-03-31,128.58,2016-04-19,132.73,3.23,-1996.1499999999892,-0.2,-481,-61846.98,-3996.018799999993,13,-153.55,2.7,-4.1
2,,Simple Strategy,2020-11-27 23:03:24,3,BA,long,2016-05-17,134.14,2016-05-18,131.55,-1.93,-1999.4799999999807,-0.2,772,103556.07999999999,-5995.498799999974,1,-1999.48,0.26,-2.83
3,,Simple Strategy,2020-11-27 23:03:25,4,BA,short,2016-06-01,126.15,2016-06-06,129.98,3.04,-1999.2599999999916,-0.2,-522,-65850.3,-7994.758799999965,3,-666.42,1.09,-4.7
4,,Simple Strategy,2020-11-27 23:03:25,5,BA,short,2016-07-13,130.81,2016-07-18,133.25,1.87,-1998.359999999998,-0.2,-819,-107133.39,-9993.118799999964,3,-666.12,1.1,-2.35
5,,Simple Strategy,2020-11-27 23:03:25,6,BA,short,2016-07-22,133.53,2016-07-27,136.14,1.95,-3163.319999999982,-0.32,-1212,-161838.36000000002,-13156.438799999945,3,-1054.44,2.22,-4.43
6,,Simple Strategy,2020-11-27 23:03:25,7,BA,short,2016-08-05,131.21,2016-08-08,132.55,1.02,-1999.2800000000052,-0.2,-1492,-195765.32,-15155.718799999951,1,-1999.28,0.15,-1.33
7,,Simple Strategy,2020-11-27 23:03:25,8,BA,long,2016-08-19,135.0,2016-08-22,134.111,-0.66,-1999.3610000000226,-0.2,2249,303615.0,-17155.079799999974,1,-1999.36,0.5,-0.86
8,,Simple Strategy,2020-11-27 23:03:25,9,BA,long,2016-08-23,134.99,2016-08-24,133.84,-0.85,-1999.85000000001,-0.2,1739,234747.61000000002,-19154.929799999984,1,-1999.85,1.02,-1.42
9,,Simple Strategy,2020-11-27 23:03:25,10,BA,short,2016-08-31,130.81,2016-10-05,133.58,2.12,-1999.9400000000073,-0.2,-722,-94444.82,-21154.86979999999,24,-83.33,3.44,-3.13
10,,Simple Strategy,2020-11-27 23:03:25,11,BA,long,2017-01-19,158.32,2017-01-25,163.59,3.33,6708.710000000013,0.68,1273,201541.36,-14446.159799999976,4,1677.18,6.52,-0.65
11,,Simple Strategy,2020-11-27 23:03:25,12,BA,long,2017-03-08,182.02,2017-03-09,180.43,-0.87,-1998.6300000000042,-0.2,1257,228799.14,-16444.78979999998,1,-1998.63,0.37,-1.34
12,,Simple Strategy,2020-11-27 23:03:25,13,BA,short,2017-04-03,176.86,2017-04-04,178.49,0.92,-1998.3799999999944,-0.2,-1226,-216830.36000000002,-18443.169799999974,1,-1998.38,0.77,-1.09
13,,Simple Strategy,2020-11-27 23:03:25,14,BA,short,2017-04-11,177.56,2017-04-18,179.97,1.36,-1997.8899999999971,-0.2,-829,-147197.24,-20441.05979999997,4,-499.47,1.12,-1.36
14,,Simple Strategy,2020-11-27 23:03:25,15,BA,long,2017-05-25,185.25,2017-06-02,190.02999999999997,2.58,3996.079999999977,0.41,836,154869.0,-16444.979799999994,5,799.22,3.48,-0.39
15,,Simple Strategy,2020-11-27 23:03:25,16,BA,short,2017-06-13,190.0,2017-06-14,191.05,0.55,-2121.0000000000227,-0.22,-2020,-383800.0,-18565.979800000016,1,-2121.0,0.34,-1.78
16,,Simple Strategy,2020-11-27 23:03:25,17,BA,short,2017-06-30,197.46,2017-07-05,200.95,1.77,-1999.7699999999888,-0.2,-573,-113144.58,-20565.749800000005,2,-999.88,0.04,-2.37
17,,Simple Strategy,2020-11-27 23:03:25,18,BA,short,2017-07-19,208.23999999999998,2017-07-20,211.1,1.37,-3863.8600000000183,-0.4,-1351,-281332.24,-24429.609800000024,1,-3863.86,-0.36,-1.45
18,,Simple Strategy,2020-11-27 23:03:25,19,BA,long,2017-07-24,212.14,2017-07-26,223.48,5.35,8300.880000000003,0.84,732,155286.47999999998,-16128.729800000021,2,4150.44,10.3,-0.35
19,,Simple Strategy,2020-11-27 23:03:25,20,BA,short,2017-08-02,239.44000000000003,2017-09-15,247.36,3.31,-2241.3599999999965,-0.23,-283,-67761.52,-18370.089800000016,31,-72.3,3.55,-4.39
20,,Simple Strategy,2020-11-27 23:03:25,21,BA,short,2017-09-26,254.32,2017-10-10,259.74,2.13,-2173.4200000000064,-0.22,-401,-101982.31999999999,-20543.50980000002,10,-217.34,1.24,-2.65
21,,Simple Strategy,2020-11-27 23:03:25,22,BA,short,2017-10-16,260.74,2017-10-20,263.79,1.17,-1997.7500000000075,-0.2,-655,-170784.7,-22541.25980000003,4,-499.44,1.81,-1.57
22,,Simple Strategy,2020-11-27 23:03:25,23,BA,long,2017-10-31,259.25,2017-11-07,267.09,3.02,3998.3999999999874,0.41,510,132217.5,-18542.859800000042,5,799.68,3.1,-1.16
23,,Simple Strategy,2020-11-27 23:03:26,24,BA,long,2017-11-16,262.86,2017-11-29,269.48,2.52,4885.560000000003,0.5,738,193990.68000000002,-13657.299800000039,8,610.7,2.59,-0.32
24,,Simple Strategy,2020-11-27 23:03:26,25,BA,short,2017-12-06,275.54,2017-12-07,281.83,2.28,-1993.9299999999885,-0.2,-317,-87346.18000000001,-15651.229800000026,1,-1993.93,0.56,-3.36
25,,Simple Strategy,2020-11-27 23:03:26,26,BA,short,2017-12-12,283.16,2017-12-13,290.5,2.59,-3523.199999999988,-0.36,-480,-135916.80000000002,-19174.429800000013,1,-3523.2,-1.61,-4.48
26,,Simple Strategy,2020-11-27 23:03:26,27,BA,short,2018-01-02,294.91,2018-01-03,297.3,0.81,-1998.0399999999886,-0.2,-836,-246544.76,-21172.469800000003,1,-1998.04,-0.16,-1.22
27,,Simple Strategy,2020-11-27 23:03:26,28,BA,short,2018-03-01,362.2099999999999,2018-03-02,341.82,-5.63,4322.679999999985,0.44,-212,-76788.51999999999,-16849.789800000017,1,4322.68,7.43,-0.15
28,,Simple Strategy,2020-11-27 23:03:26,29,BA,short,2018-03-13,344.19,2018-03-22,322.10999999999996,-6.42,3996.4800000000073,0.4,-181,-62298.39,-12853.30980000001,7,570.93,7.32,-1.07
29,,Simple Strategy,2020-11-27 23:03:26,30,BA,short,2018-04-16,329.28,2018-04-17,339.67,3.16,-1994.8800000000083,-0.2,-192,-63221.759999999995,-14848.189800000018,1,-1994.88,0.5,-3.18
30,,Simple Strategy,2020-11-27 23:03:26,31,BA,short,2018-04-23,338.67,2018-04-24,343.17,1.33,-2403.0,-0.24,-534,-180849.78,-17251.18980000002,1,-2403.0,4.54,-2.66
31,,Simple Strategy,2020-11-27 23:03:26,32,BA,long,2018-05-04,330.69,2018-05-21,358.46,8.4,4776.439999999997,0.48,172,56878.68,-12474.749800000021,11,434.22,10.38,-0.8
32,,Simple Strategy,2020-11-27 23:03:26,33,BA,short,2018-05-23,355.02,2018-06-06,365.0,2.81,-1996.0000000000036,-0.2,-200,-71004.0,-14470.749800000025,9,-221.78,1.23,-4.67
33,,Simple Strategy,2020-11-27 23:03:26,34,BA,short,2018-08-23,350.03,2018-09-11,338.3499999999999,-3.34,3994.560000000022,0.4,-342,-119710.26,-10476.189800000004,12,332.88,3.63,-1.61
34,,Simple Strategy,2020-11-27 23:03:26,35,BA,short,2018-11-13,357.03,2018-11-19,329.0899999999999,-7.83,3995.420000000008,0.4,-143,-51055.28999999999,-6480.769799999996,4,998.86,11.16,0.33
35,,Simple Strategy,2020-11-27 23:03:26,36,BA,short,2018-12-10,323.22,2018-12-24,294.44000000000005,-8.9,3971.6399999999962,0.4,-138,-44604.36,-2509.1298,10,397.16,8.99,-3.49
36,,Simple Strategy,2020-11-27 23:03:26,37,BA,long,2019-01-18,359.09,2019-01-30,387.4,7.88,6766.09,0.67,239,85822.51,4256.9601999999995,7,966.58,9.16,-1.51
37,,Simple Strategy,2020-11-27 23:03:26,38,BA,long,2019-03-18,378.99,2019-03-22,366.45,-3.31,-1993.8600000000033,-0.2,159,60259.41,2263.100199999996,4,-498.47,0.48,-4.61
38,,Simple Strategy,2020-11-27 23:03:26,39,BA,long,2019-04-12,370.16,2019-04-25,384.64000000000004,3.91,3996.480000000005,0.4,276,102164.16,6259.580200000001,8,499.56,3.96,0.5
39,,Simple Strategy,2020-11-27 23:03:26,40,BA,short,2019-05-01,377.69,2019-05-07,362.46999999999997,-4.03,3987.640000000007,0.39,-262,-98954.78,10247.220200000009,4,996.91,6.0,-0.93
40,,Simple Strategy,2020-11-27 23:03:26,41,BA,short,2019-06-26,369.32,2019-07-01,356.97999999999996,-3.34,3998.1600000000103,0.39,-324,-119659.68,14245.38020000002,3,1332.72,4.33,-2.62
41,,Simple Strategy,2020-11-27 23:03:26,42,BA,short,2019-07-02,356.46,2019-07-17,366.225,2.74,-1992.0600000000088,-0.2,-204,-72717.84,12253.320200000011,10,-199.21,2.4,-3.73
42,,Simple Strategy,2020-11-27 23:03:26,43,BA,long,2019-07-31,347.46,2019-08-01,336.56,-3.14,-1994.6999999999957,-0.2,183,63585.17999999999,10258.620200000016,1,-1994.7,1.1,-4.16
43,,Simple Strategy,2020-11-27 23:03:26,44,BA,long,2019-08-29,359.97,2019-09-03,351.18,-2.44,-1995.3300000000047,-0.2,227,81713.19,8263.29020000001,2,-997.67,1.78,-2.6
44,,Simple Strategy,2020-11-27 23:03:27,45,BA,long,2019-10-04,372.07,2019-10-18,363.23,-2.38,-1997.8399999999942,-0.2,226,84087.81999999999,6265.450200000016,10,-199.78,1.78,-7.54
45,,Simple Strategy,2020-11-27 23:03:27,46,BA,long,2019-10-30,348.92999999999995,2019-11-11,368.354,5.57,3981.9200000000073,0.39,205,71530.65,10247.370200000023,8,497.74,5.97,-2.72
46,,Simple Strategy,2020-11-27 23:03:27,47,BA,long,2019-11-12,366.96,2019-12-11,342.1,-6.77,-2311.979999999996,-0.23,93,34127.28,7935.390200000027,20,-115.6,2.36,-7.76
47,,Simple Strategy,2020-11-27 23:03:27,48,BA,short,2019-12-23,328.0,2019-12-24,339.51,3.51,-3061.6599999999976,-0.3,-266,-87248.0,4873.730200000029,1,-3061.66,-1.41,-3.84
48,,Simple Strategy,2020-11-27 23:03:27,49,BA,short,2019-12-26,333.0,2020-01-07,340.5899,2.28,-1996.1437,-0.2,-263,-87579.0,2877.586500000029,7,-285.16,2.91,-3.36
49,,Simple Strategy,2020-11-27 23:03:27,50,BA,short,2020-01-16,329.8,2020-01-21,318.7,-3.37,3996.000000000008,0.4,-360,-118728.0,6873.586500000038,2,1998.0,7.29,-0.93
50,,Simple Strategy,2020-11-27 23:03:27,51,BA,long,2020-01-24,317.79,2020-02-11,347.93,9.48,3978.479999999998,0.39,132,41948.280000000006,10852.066500000035,12,331.54,9.53,-1.66
51,,Simple Strategy,2020-11-27 23:03:27,52,BA,short,2020-05-04,133.37,2020-05-26,145.21,8.88,-2095.6800000000007,-0.21,-177,-23606.49,8756.386500000035,15,-139.71,14.61,-9.4
52,,Simple Strategy,2020-11-27 23:03:27,53,BA,short,2020-06-22,187.02,2020-07-29,164.991,-11.78,3987.2489999999993,0.39,-181,-33850.62,12743.635500000035,26,153.36,13.24,-4.0
53,,Simple Strategy,2020-11-27 23:03:27,54,BA,short,2020-07-30,166.01,2020-08-05,173.74,4.66,-1994.3400000000047,-0.2,-258,-42830.579999999994,10749.29550000003,4,-498.59,7.59,-5.4
54,,Simple Strategy,2020-11-27 23:03:27,55,BA,short,2020-08-18,172.01,2020-08-25,180.46,4.91,-2264.6000000000045,-0.22,-268,-46098.68,8484.695500000025,5,-452.92,3.58,-5.01
55,,Simple Strategy,2020-11-27 23:03:27,56,BA,short,2020-09-04,168.77,2020-10-30,144.61000000000004,-14.32,3986.3999999999946,0.39,-165,-27847.050000000003,12471.09550000002,39,102.22,16.11,-4.02
56,,Simple Strategy,2020-11-27 23:03:27,57,BA,short,2020-11-12,182.15,2020-11-16,194.56,6.81,-2097.2899999999995,-0.21,-169,-30783.350000000002,10373.80550000002,2,-1048.64,3.24,-11.41
